especie,data_medicao,uso_da_terra,poca,poca_orig,etiqueta,metodo_coleta,data_coleta,survey,estagio,comprimento_do_corpo,comprimento_total,cauda_danificada,massa,malformacao
P_cuvieri,,cerrado,JT02,JT-02,,,16/02/2011,2,36,8.4,21.11,nao,113.8,nao
P_cuvieri,,cerrado,JT02,JT-02,,,16/02/2011,2,36,8.2,21.79,nao,111,nao
P_cuvieri,,cerrado,JT02,JT-02,,,16/02/2011,2,37,9,20.97,nao,128.1,nao
P_cuvieri,,cerrado,JT02,JT-02,,,16/02/2011,2,37,9.2,22.41,nao,169.7,nao
P_cuvieri,,cerrado,JT02,JT-02,,,16/02/2011,2,31,7.4,19.49,nao,64.3,nao
P_cuvieri,,cerrado,JT02,JT-02,,,16/02/2011,2,42,8.4,20.76,nao,102.4,nao
P_cuvieri,,cerrado,JT02,JT-02,,,16/02/2011,2,34,8,20.92,nao,83.1,nao
P_cuvieri,,cerrado,JT02,JT-02,,,16/02/2011,2,28,6.2,16.97,nao,43.5,nao
P_cuvieri,,cerrado,JT02,JT-02,,,16/02/2011,2,25,4.2,9.77,nao,5.7,nao
P_cuvieri,,cerrado,JT02,JT-02,,,16/02/2011,2,25,3.6,8.8,nao,6.1,nao
P_cuvieri,,pasto,AMP17,AMP-17,,,16/02/2011,2,39,9.4,25.08,nao,178.4,nao
P_cuvieri,,pasto,AMP17,AMP-17,,,20/02/2011,2,42,8.8,25.03,nao,164.5,nao
P_cuvieri,,pasto,AMP17,AMP-17,,,20/02/2011,2,36,9,23.97,nao,156.2,nao
P_cuvieri,,pasto,AMP17,AMP-17,,,20/02/2011,2,34,8,21.31,nao,105.9,nao
P_cuvieri,,pasto,AMP17,AMP-17,,,20/02/2011,2,35,8.4,20.73,nao,121.7,nao
P_cuvieri,,pasto,AMP17,AMP-17,,,20/02/2011,2,33,7.8,21.73,nao,97.2,nao
P_cuvieri,,pasto,AMP17,AMP-17,,,20/02/2011,2,34,8,22.56,nao,99.8,nao
P_cuvieri,,pasto,AMP17,AMP-17,,,20/02/2011,2,32,7.6,20.13,nao,78.1,nao
P_cuvieri,,pasto,AMP17,AMP-17,,,20/02/2011,2,29,6.6,17.65,nao,53.6,nao
P_cuvieri,,pasto,AMP17,AMP-17,,,20/02/2011,2,32,7.2,17.76,nao,56.6,nao
P_cuvieri,,pasto,AMP17,AMP-17,,,20/02/2011,2,27,5.8,15.35,nao,37.4,nao
P_cuvieri,,pasto,AMP17,AMP-17,,,20/02/2011,2,30,6.2,16.88,nao,48.6,nao
P_cuvieri,,pasto,AMP17,AMP-17,,,20/02/2011,2,31,6.8,17.52,nao,58.6,nao
P_cuvieri,,pasto,AMP17,AMP-17,,,20/02/2011,2,25,5.2,12.53,nao,21.9,nao
P_cuvieri,,pasto,AMP17,AMP-17,,,20/02/2011,2,28,6.2,15.81,nao,43.5,nao
P_cuvieri,,pasto,AMP17,AMP-17,,,20/02/2011,2,26,5.8,14.13,nao,25.9,nao
P_cuvieri,,pasto,AMP17,AMP-17,,,20/02/2011,2,28,5.8,14.41,nao,34,nao
P_cuvieri,,pasto,AMP17,AMP-17,,,20/02/2011,2,25,5.4,12.38,nao,22.9,nao
P_cuvieri,,pasto,AMP17,AMP-17,,,20/02/2011,2,25,5.2,13.32,nao,22.2,nao
P_cuvieri,,pasto,AMP17,AMP-17,,,20/02/2011,2,25,5.4,13.37,nao,26.2,sim
P_cuvieri,,pasto,AMP17,AMP-17,,,20/02/2011,2,26,5.4,11.94,nao,15.3,nao
P_cuvieri,,pasto,AMP17,AMP-17,,,20/02/2011,2,25,5.2,13.76,nao,22.2,nao
P_cuvieri,,pasto,AMP17,AMP-17,,,20/02/2011,2,25,4.8,11.98,nao,14.2,nao
P_cuvieri,,pasto,AMP17,AMP-17,,,20/02/2011,2,25,4,9.35,nao,10.4,nao
P_cuvieri,,pasto,AMP17,AMP-17,,,20/02/2011,2,26,5.4,8.57,nao,22.9,nao
P_cuvieri,,pasto,AMP17,AMP-17,,,20/02/2011,2,25,2.4,12.43,nao,5.4,nao
P_cuvieri,,pasto,AMP16,AMP-16,,,20/02/2011,2,42,9,24.18,nao,147.9,nao
P_cuvieri,,pasto,AMP16,AMP-16,,,20/02/2011,2,31,6.6,18.41,nao,43.2,nao
P_cuvieri,,pasto,AMP09,AMP-09,,,19/02/2011,2,42,8.8,23.88,nao,159.2,nao
P_cuvieri,,pasto,AMP09,AMP-09,,,19/02/2011,2,42,9.2,24.61,nao,165.8,nao
P_cuvieri,,cana,AMC02,AMC-02,,,20/02/2011,2,33,8.8,22.15,nao,150.1,nao
P_cuvieri,,cana,AMC02,AMC-02,,,20/02/2011,2,25,5.4,13.62,nao,28.2,nao
P_cuvieri,,cerrado,JT10,JT-10,,,18/02/2011,2,37,10.6,26.93,nao,247.9,nao
P_cuvieri,,cerrado,JT10,JT-10,,,18/02/2011,2,38,10.4,25.07,nao,248.6,nao
P_cuvieri,,cerrado,JT10,JT-10,,,18/02/2011,2,40,10.6,27.06,nao,263.5,nao
P_cuvieri,,cerrado,JT10,JT-10,,,18/02/2011,2,36,9.4,23.49,nao,133.4,nao
P_cuvieri,,cerrado,JT10,JT-10,,,18/02/2011,2,42,9,23.15,nao,154.4,nao
P_cuvieri,,cerrado,JT10,JT-10,,,18/02/2011,2,42,8.4,22.65,nao,125.6,nao
P_cuvieri,,cerrado,JT10,JT-10,,,18/02/2011,2,42,8.8,22.63,nao,139.5,nao
P_cuvieri,,cerrado,JT10,JT-10,,,18/02/2011,2,43,9.2,22.37,nao,117.1,nao
P_cuvieri,,cerrado,JT10,JT-10,,,18/02/2011,2,40,9,22.74,nao,168.2,nao
P_cuvieri,,cerrado,JT10,JT-10,,,18/02/2011,2,38,9.8,24.25,nao,184,nao
P_cuvieri,,cerrado,JT10,JT-10,,,18/02/2011,2,37,10,24.12,nao,202.2,nao
P_cuvieri,,cerrado,JT10,JT-10,,,18/02/2011,2,32,8.2,22.1,nao,97,nao
P_cuvieri,,cerrado,JT10,JT-10,,,18/02/2011,2,39,10.6,23.79,nao,209.2,nao
P_cuvieri,,cerrado,JT10,JT-10,,,18/02/2011,2,38,10.2,25.4,nao,217.4,nao
P_cuvieri,,cerrado,JT10,JT-10,,,18/02/2011,2,40,9,23.69,nao,132.8,nao
P_cuvieri,,cerrado,JT10,JT-10,,,18/02/2011,2,39,10,26.36,nao,272.7,nao
P_cuvieri,,cerrado,JT10,JT-10,,,18/02/2011,2,42,8.8,22.62,nao,118.5,nao
P_cuvieri,,cerrado,JT10,JT-10,,,18/02/2011,2,31,8,20.82,nao,112.9,nao
P_cuvieri,,cerrado,JT10,JT-10,,,18/02/2011,2,40,9.6,24.58,nao,171.4,nao
P_cuvieri,,cerrado,JT10,JT-10,,,18/02/2011,2,42,8.6,21.32,nao,94.3,nao
P_cuvieri,,cerrado,JT10,JT-10,,,18/02/2011,2,43,9.2,21.57,nao,119.7,nao
P_cuvieri,,cerrado,JT10,JT-10,,,18/02/2011,2,39,10.2,25.75,nao,204.8,nao
P_cuvieri,,cerrado,JT10,JT-10,,,18/02/2011,2,30,8,19.34,nao,80.1,nao
P_cuvieri,,cerrado,JT10,JT-10,,,18/02/2011,2,40,9.4,22.74,nao,184.5,sim
P_cuvieri,,cerrado,JT10,JT-10,,,18/02/2011,2,40,9.8,24.21,nao,218.5,nao
P_cuvieri,,cerrado,JT10,JT-10,,,18/02/2011,2,35,9.2,23.35,nao,162.7,nao
P_cuvieri,,cerrado,JT10,JT-10,,,18/02/2011,2,30,8.2,20.26,nao,87.5,nao
P_cuvieri,,cerrado,JT10,JT-10,,,18/02/2011,2,27,6.6,18.08,nao,48.5,nao
P_cuvieri,,cerrado,JT10,JT-10,,,18/02/2011,2,31,8,20.69,nao,102.4,nao
P_cuvieri,,cerrado,JT10,JT-10,,,18/02/2011,2,33,8.8,23.82,nao,133.4,nao
P_cuvieri,,cerrado,JT10,JT-10,,,18/02/2011,2,29,7.6,18.58,nao,66.1,nao
P_cuvieri,,cerrado,JT10,JT-10,,,18/02/2011,2,26,6.6,15.35,nao,40.4,nao
P_cuvieri,,cerrado,JT10,JT-10,,,18/02/2011,2,30,7.4,18.51,nao,82.5,nao
P_cuvieri,,cerrado,JT10,JT-10,,,18/02/2011,2,26,6.8,16.57,nao,55.4,nao
P_cuvieri,,cerrado,JT10,JT-10,,,18/02/2011,2,26,6.4,14.49,nao,40.3,nao
P_cuvieri,,cerrado,JT10,JT-10,,,18/02/2011,2,26,6.2,14.06,nao,41,nao
P_cuvieri,,cerrado,JT10,JT-10,,,18/02/2011,2,26,6,14.4,nao,38.4,nao
P_cuvieri,,cerrado,JT10,JT-10,,,18/02/2011,2,27,7,17.22,nao,52.8,nao
P_cuvieri,,cerrado,JT10,JT-10,,,18/02/2011,2,25,5.2,12.21,nao,22.8,nao
P_cuvieri,,cerrado,JT10,JT-10,,,18/02/2011,2,25,4.8,12.19,nao,18.1,nao
P_cuvieri,,cana,CC08,CC-08,,,17/02/2011,2,31,8.4,20.55,nao,94.2,nao
P_cuvieri,,cana,CC08,CC-08,,,17/02/2011,2,39,9.6,24.99,nao,140.8,nao
P_cuvieri,,cana,CC08,CC-08,,,17/02/2011,2,37,10,25.68,nao,170.4,nao
P_cuvieri,,cana,CC08,CC-08,,,17/02/2011,2,38,10.2,25.77,nao,221.7,nao
P_cuvieri,,cana,CC08,CC-08,,,17/02/2011,2,37,8.2,23.86,nao,123.5,nao
P_cuvieri,,cana,CC08,CC-08,,,17/02/2011,2,30,8.2,21.59,nao,85.7,nao
P_cuvieri,,cana,CC08,CC-08,,,17/02/2011,2,33,8.4,22.17,nao,101,nao
P_cuvieri,,cana,CC08,CC-08,,,17/02/2011,2,34,9,22.61,nao,126.4,nao
P_cuvieri,,cana,CC08,CC-08,,,17/02/2011,2,34,7.2,19.8,nao,72.1,nao
P_cuvieri,,cana,CC08,CC-08,,,17/02/2011,2,31,7.8,19.9,nao,79.4,nao
P_cuvieri,,cana,CC08,CC-08,,,17/02/2011,2,30,7.4,19.05,nao,70.5,nao
P_cuvieri,,cana,CC08,CC-08,,,17/02/2011,2,31,7.8,20.85,nao,82.7,nao
P_cuvieri,,cana,CC08,CC-08,,,17/02/2011,2,32,8.4,21.84,nao,99.6,nao
P_cuvieri,,cana,CC08,CC-08,,,17/02/2011,2,37,9,24.05,nao,140.4,nao
P_cuvieri,,cana,CC08,CC-08,,,17/02/2011,2,30,7.8,21,nao,78,nao
P_cuvieri,,cana,CC08,CC-08,,,17/02/2011,2,30,6.8,17.73,nao,55,nao
P_cuvieri,,cana,CC08,CC-08,,,17/02/2011,2,27,6.8,18.13,nao,45.8,nao
P_cuvieri,,cana,CC08,CC-08,,,17/02/2011,2,28,7.4,19.7,nao,69.4,nao
P_cuvieri,,cana,CC08,CC-08,,,17/02/2011,2,23,6.8,16.96,nao,53.3,nao
P_cuvieri,,cana,CC08,CC-08,,,17/02/2011,2,37,8.8,23.14,nao,135.2,nao
P_cuvieri,,cana,CC08,CC-08,,,17/02/2011,2,27,7,18.53,nao,60.3,nao
P_cuvieri,,cana,CC08,CC-08,,,17/02/2011,2,39,9.2,24.76,nao,162.1,nao
P_cuvieri,,cana,CC08,CC-08,,,17/02/2011,2,39,8.8,22.76,nao,119.3,nao
P_cuvieri,,cana,CC08,CC-08,,,17/02/2011,2,39,10,26.46,nao,187.7,
P_cuvieri,,cana,CC08,CC-08,,,17/02/2011,2,35,9,24.68,nao,151.3,
P_cuvieri,,cana,CC08,CC-08,,,17/02/2011,2,35,8.6,22.82,nao,114.5,
P_cuvieri,,cana,CC08,CC-08,,,17/02/2011,2,27,7,18.25,nao,54.7,
P_cuvieri,,cana,CC08,CC-08,,,17/02/2011,2,26,6.6,17.52,nao,46.5,
P_cuvieri,,cana,CC08,CC-08,,,17/02/2011,2,38,10,25.79,nao,193.1,
P_cuvieri,,cana,CC08,CC-08,,,17/02/2011,2,26,6.2,15.81,nao,43,
P_cuvieri,,cana,CC08,CC-08,,,17/02/2011,2,29,6.8,18.4,nao,49.2,
P_cuvieri,,cana,CC08,CC-08,,,17/02/2011,2,39,9.2,23.35,nao,157,
P_cuvieri,,cana,CC08,CC-08,,,17/02/2011,2,31,8,21.98,nao,78.1,
P_cuvieri,,cana,CC08,CC-08,,,17/02/2011,2,34,8.6,21.53,nao,109.2,
P_cuvieri,,cana,CC08,CC-08,,,17/02/2011,2,26,6.8,17.03,nao,47.4,
P_cuvieri,,cana,CC08,CC-08,,,17/02/2011,2,28,7.8,20.3,nao,81.8,
P_cuvieri,,cana,CC08,CC-08,,,17/02/2011,2,26,6.4,16.41,nao,35.9,
P_cuvieri,,cana,CC08,CC-08,,,17/02/2011,2,27,6.4,17.42,nao,46.5,
P_cuvieri,,cana,CC08,CC-08,,,17/02/2011,2,25,5.2,13.37,nao,24.3,
P_cuvieri,,cana,CC08,CC-08,,,17/02/2011,2,34,8.2,21.21,nao,90.5,nao
P_cuvieri,,cana,CC09,CC-09,,,15/12/2010,1,34,8.8,22.09,nao,115.2,nao
P_cuvieri,,cana,CC09,CC-09,,,15/12/2010,1,35,9.4,22.76,nao,126.1,nao
P_cuvieri,,cana,CC09,CC-09,,,15/12/2010,1,31,8,20.38,nao,85.2,nao
P_cuvieri,,cana,CC09,CC-09,,,15/12/2010,1,30,7.8,19.63,nao,89.9,nao
P_cuvieri,,cana,CC09,CC-09,,,15/12/2010,1,35,9,24.33,nao,135,nao
P_cuvieri,,cana,CC09,CC-09,,,15/12/2010,1,31,7.6,20.32,nao,76.2,nao
P_cuvieri,,cana,CC09,CC-09,,,15/12/2010,1,34,9,23.63,nao,135.9,nao
P_cuvieri,,cana,CC09,CC-09,,,15/12/2010,1,32,8,20.97,nao,85.5,nao
P_cuvieri,,cana,CC09,CC-09,,,15/12/2010,1,31,7.8,19.97,nao,68.9,nao
P_cuvieri,,cana,CC09,CC-09,,,15/12/2010,1,36,9.2,25.56,nao,140.8,nao
P_cuvieri,,cana,CC09,CC-09,,,15/12/2010,1,31,7.8,20.81,nao,98.1,nao
P_cuvieri,,cana,CC09,CC-09,,,15/12/2010,1,35,10.2,27.54,nao,184.6,nao
P_cuvieri,,cana,CC09,CC-09,,,15/12/2010,1,31,8.2,20.78,nao,103.8,nao
P_cuvieri,,cana,CC09,CC-09,,,15/12/2010,1,34,9.6,25.07,nao,159.5,nao
P_cuvieri,,cana,CC09,CC-09,,,15/12/2010,1,30,7.4,18.23,nao,62.6,nao
P_cuvieri,,cana,CC09,CC-09,,,15/12/2010,1,33,8.6,23.75,nao,109.5,nao
P_cuvieri,,cana,CC09,CC-09,,,15/12/2010,1,29,7.4,18.97,nao,67.2,nao
P_cuvieri,,cana,CC09,CC-09,,,15/12/2010,1,28,5.8,14.07,nao,31.1,nao
P_cuvieri,,cana,CC09,CC-09,,,15/12/2010,1,27,5.6,13.37,nao,23.5,nao
P_cuvieri,,cana,CC09,CC-09,,,15/12/2010,1,28,6.4,14.45,nao,32.9,nao
P_cuvieri,,cana,CC09,CC-09,,,15/12/2010,1,28,6.8,16.77,nao,46.3,nao
P_cuvieri,,cana,CC09,CC-09,,,15/12/2010,1,26,6,13.71,nao,29.8,nao
P_cuvieri,,cana,CC09,CC-09,,,15/12/2010,1,26,5.8,13.09,nao,18.3,nao
P_cuvieri,,cana,CC09,CC-09,,,15/12/2010,1,29,7.4,17.78,nao,60.6,nao
P_cuvieri,,cana,CC09,CC-09,,,15/12/2010,1,26,5,11.83,nao,21.4,nao
P_cuvieri,,cana,CC09,CC-09,,,15/12/2010,1,27,6.4,14.88,nao,35.6,nao
P_cuvieri,,cana,CC09,CC-09,,,15/12/2010,1,26,5,12.52,nao,17.9,nao
P_cuvieri,,cana,CC09,CC-09,,,15/12/2010,1,26,5.2,11.95,nao,18.9,nao
P_cuvieri,,cana,CC09,CC-09,,,15/12/2010,1,26,5,12.49,nao,20,nao
P_cuvieri,,cana,CC09,CC-09,,,15/12/2010,1,27,6.4,14.97,nao,32.7,nao
P_cuvieri,,cana,CC09,CC-09,,,15/12/2010,1,27,6.6,15.04,nao,35.8,nao
P_cuvieri,,cana,CC09,CC-09,,,15/12/2010,1,27,6,13.42,nao,20.4,nao
P_cuvieri,,cana,CC09,CC-09,,,15/12/2010,1,26,6,13.76,nao,25.1,nao
P_cuvieri,,cana,CC09,CC-09,,,15/12/2010,1,26,6,13.33,nao,24.5,nao
P_cuvieri,,cana,CC09,CC-09,,,15/12/2010,1,27,6.8,15.25,nao,32.8,nao
P_cuvieri,,cana,CC09,CC-09,,,15/12/2010,1,26,5.6,13.39,nao,24.6,nao
P_cuvieri,,cana,CC09,CC-09,,,15/12/2010,1,25,5.2,11.55,nao,17,nao
P_cuvieri,,cana,CC09,CC-09,,,15/12/2010,1,25,5.4,13.78,nao,24.4,nao
P_cuvieri,,cana,CC09,CC-09,,,15/12/2010,1,28,6.8,16.69,nao,46.7,nao
P_cuvieri,,cana,CC09,CC-09,,,15/12/2010,1,25,5.2,11.36,nao,19.1,nao
P_cuvieri,,cana,CC07,CC-07,,,19/02/2011,2,35,8.6,23.98,nao,108.3,nao
P_cuvieri,,cana,CC07,CC-07,,,19/02/2011,2,32,8,21.32,nao,93,nao
P_cuvieri,,cana,CC07,CC-07,,,19/02/2011,2,38,9.2,25.56,nao,133.1,nao
P_cuvieri,,cana,CC07,CC-07,,,19/02/2011,2,40,9.4,25.24,nao,195.5,nao
P_cuvieri,,cana,CC07,CC-07,,,19/02/2011,2,33,8.2,21.31,nao,82.7,nao
P_cuvieri,,cana,CC07,CC-07,,,19/02/2011,2,33,7.8,22.61,nao,75.6,nao
P_cuvieri,,cana,CC07,CC-07,,,19/02/2011,2,27,7,19.51,nao,59,nao
P_cuvieri,,cana,CC07,CC-07,,,19/02/2011,2,38,9,25.61,nao,148.1,nao
P_cuvieri,,cana,CC07,CC-07,,,19/02/2011,2,37,9,23.85,nao,123.4,nao
P_cuvieri,,cana,CC07,CC-07,,,19/02/2011,2,26,6.2,17.31,nao,35.5,nao
P_cuvieri,,cana,CC07,CC-07,,,19/02/2011,2,29,6.8,19.02,nao,48.8,nao
P_cuvieri,,cana,CC07,CC-07,,,19/02/2011,2,33,8.4,21.58,nao,118.8,nao
P_cuvieri,,cana,CC07,CC-07,,,19/02/2011,2,27,6.8,18.24,nao,54.4,nao
P_cuvieri,,cana,CC07,CC-07,,,19/02/2011,2,35,9.2,24.57,nao,119.2,nao
P_cuvieri,,cana,CC07,CC-07,,,19/02/2011,2,29,7.6,19.09,nao,64.4,nao
P_cuvieri,,cana,CC07,CC-07,,,19/02/2011,2,39,9,25.81,nao,145.9,nao
P_cuvieri,,cana,CC07,CC-07,,,19/02/2011,2,35,8.6,22.14,nao,98.1,nao
P_cuvieri,,cana,CC07,CC-07,,,19/02/2011,2,38,9,25.85,nao,138.9,nao
P_cuvieri,,cana,CC07,CC-07,,,19/02/2011,2,35,8.6,22.68,nao,105.7,nao
P_cuvieri,,cana,CC07,CC-07,,,19/02/2011,2,35,8.4,23.68,nao,97.5,nao
P_cuvieri,,cana,CC07,CC-07,,,19/02/2011,2,38,8.8,23.46,nao,103.3,nao
P_cuvieri,,cana,CC07,CC-07,,,19/02/2011,2,35,8.8,23.01,nao,109.1,nao
P_cuvieri,,cana,CC07,CC-07,,,19/02/2011,2,34,8.4,23.37,nao,104.4,nao
P_cuvieri,,cana,CC07,CC-07,,,19/02/2011,2,38,9.8,26.03,nao,163.8,nao
P_cuvieri,,cana,CC07,CC-07,,,19/02/2011,2,37,9.2,26.06,nao,147.6,nao
P_cuvieri,,cana,CC07,CC-07,,,19/02/2011,2,39,9.2,24.62,nao,144.7,nao
P_cuvieri,,cana,CC07,CC-07,,,19/02/2011,2,39,9.2,25.31,nao,149.2,nao
P_cuvieri,,cana,CC07,CC-07,,,19/02/2011,2,32,7.4,22.01,nao,54.3,nao
P_cuvieri,,cana,CC07,CC-07,,,19/02/2011,2,26,7,17.45,nao,53.1,nao
P_cuvieri,,cana,CC07,CC-07,,,19/02/2011,2,26,6.2,14.81,nao,32.1,nao
P_cuvieri,,cana,CC07,CC-07,,,19/02/2011,2,38,8.8,22.29,nao,116.2,nao
P_cuvieri,,cana,CC07,CC-07,,,19/02/2011,2,32,8.2,21.5,nao,85.6,nao
P_cuvieri,,cana,CC07,CC-07,,,19/02/2011,2,38,9.4,25.02,nao,151.6,nao
P_cuvieri,,cana,CC07,CC-07,,,19/02/2011,2,30,8,22.42,nao,87.4,nao
P_cuvieri,,cana,CC07,CC-07,,,19/02/2011,2,39,9.4,29.16,nao,215.7,nao
P_cuvieri,,cana,CC07,CC-07,,,19/02/2011,2,27,7.4,18.37,nao,62.6,nao
P_cuvieri,,cana,CC07,CC-07,,,19/02/2011,2,27,6.8,16.22,nao,48.2,nao
P_cuvieri,,cana,CC07,CC-07,,,19/02/2011,2,28,7.6,18.67,nao,51.1,nao
P_cuvieri,,cana,CC07,CC-07,,,19/02/2011,2,31,7.8,19.06,nao,61.9,nao
P_cuvieri,,cana,CC07,CC-07,,,19/02/2011,2,28,7.2,19.4,nao,62.5,nao
P_cuvieri,,cana,CC09,CC-09,,,17/02/2011,2,37,9.4,26.86,nao,163.9,nao
P_cuvieri,,cana,CC09,CC-09,,,17/02/2011,2,34,8.4,22.33,nao,105.1,nao
P_cuvieri,,cana,CC09,CC-09,,,17/02/2011,2,35,9.2,23.64,nao,133.9,nao
P_cuvieri,,cana,CC09,CC-09,,,17/02/2011,2,39,9.6,26.61,nao,184.1,nao
P_cuvieri,,cana,CC09,CC-09,,,17/02/2011,2,37,9.2,25.37,nao,144.4,nao
P_cuvieri,,cana,CC09,CC-09,,,17/02/2011,2,33,7.8,21.77,nao,90.2,nao
P_cuvieri,,cana,CC09,CC-09,,,17/02/2011,2,35,9.8,26.44,nao,189.8,nao
P_cuvieri,,cana,CC09,CC-09,,,17/02/2011,2,31,7.6,20.66,nao,94.6,nao
P_cuvieri,,cana,CC09,CC-09,,,17/02/2011,2,30,7.4,20.23,nao,78.3,nao
P_cuvieri,,cana,CC09,CC-09,,,17/02/2011,2,37,9,25.49,nao,139.6,nao
P_cuvieri,,cana,CC09,CC-09,,,17/02/2011,2,33,8.8,22.97,nao,120,nao
P_cuvieri,,cana,CC09,CC-09,,,17/02/2011,2,42,9.2,25.83,nao,145.9,nao
P_cuvieri,,cana,CC09,CC-09,,,17/02/2011,2,30,7,149.36,nao,62.1,nao
P_cuvieri,,cana,CC09,CC-09,,,17/02/2011,2,29,6.6,18.08,nao,51.2,nao
P_cuvieri,,cana,CC09,CC-09,,,17/02/2011,2,36,9.2,25.12,nao,167.5,nao
P_cuvieri,,cana,CC09,CC-09,,,17/02/2011,2,34,7.8,21.6,nao,89.1,nao
P_cuvieri,,cana,CC09,CC-09,,,17/02/2011,2,33,8,23.11,nao,95.1,nao
P_cuvieri,,cana,CC09,CC-09,,,17/02/2011,2,38,8.8,24.55,nao,130.5,nao
P_cuvieri,,cana,CC09,CC-09,,,17/02/2011,2,26,6.2,16.06,nao,35.6,nao
P_cuvieri,,cana,CC09,CC-09,,,17/02/2011,2,27,7.4,21.36,nao,80.1,nao
P_cuvieri,,cana,CC09,CC-09,,,17/02/2011,2,30,7.4,21.11,nao,71.4,nao
P_cuvieri,,cana,CC09,CC-09,,,17/02/2011,2,37,9.6,26.48,nao,183.9,nao
P_cuvieri,,cana,CC09,CC-09,,,17/02/2011,2,34,8.2,21.78,nao,109.3,nao
P_cuvieri,,cana,CC09,CC-09,,,17/02/2011,2,33,8.4,21.74,nao,93.4,nao
P_cuvieri,,cana,CC09,CC-09,,,17/02/2011,2,31,7.2,19.48,nao,58,nao
P_cuvieri,,cana,CC09,CC-09,,,17/02/2011,2,37,8.8,24.48,nao,134.3,nao
P_cuvieri,,cana,CC09,CC-09,,,17/02/2011,2,27,6.4,16.87,nao,48.7,nao
P_cuvieri,,cana,CC09,CC-09,,,17/02/2011,2,35,9.2,23.6,nao,140,nao
P_cuvieri,,cana,CC09,CC-09,,,17/02/2011,2,38,9.4,25.73,nao,157.2,nao
P_cuvieri,,cana,CC09,CC-09,,,17/02/2011,2,26,6.8,18.64,nao,54.7,nao
P_cuvieri,,cana,CC09,CC-09,,,17/02/2011,2,39,9.6,26.76,nao,197.5,nao
P_cuvieri,,cana,CC09,CC-09,,,17/02/2011,2,26,6,15.69,nao,28.7,nao
P_cuvieri,,cana,CC09,CC-09,,,17/02/2011,2,37,9.8,26.4,nao,163.7,nao
P_cuvieri,,cana,CC09,CC-09,,,17/02/2011,2,37,10,27.18,nao,193.8,nao
P_cuvieri,,cana,CC09,CC-09,,,17/02/2011,2,38,9.2,24.58,nao,149.9,nao
P_cuvieri,,cana,CC09,CC-09,,,17/02/2011,2,26,7.8,19.47,nao,85.3,nao
P_cuvieri,,cana,CC09,CC-09,,,17/02/2011,2,33,8.2,22.32,nao,104.4,nao
P_cuvieri,,cana,CC09,CC-09,,,17/02/2011,2,31,7.8,20.2,nao,69.2,nao
P_cuvieri,,cana,CC09,CC-09,,,17/02/2011,2,26,6,15.76,nao,28,nao
P_cuvieri,,cana,CC09,CC-09,,,17/02/2011,2,28,8,19.98,nao,65.1,nao
P_cuvieri,,cerrado,JT01,JT-01,,,14/12/2010,1,33,8.8,23.24,nao,145.9,nao
P_cuvieri,,cerrado,JT01,JT-01,,,14/12/2010,1,38,10.2,27.76,nao,252.3,nao
P_cuvieri,,cerrado,JT01,JT-01,,,14/12/2010,1,37,11,28.61,nao,261.2,nao
P_cuvieri,,cerrado,JT01,JT-01,,,14/12/2010,1,33,8.2,20.69,nao,84.2,nao
P_cuvieri,,cerrado,JT01,JT-01,,,14/12/2010,1,27,7,15.8,nao,54.9,nao
P_cuvieri,,cerrado,JT01,JT-01,,,14/12/2010,1,27,7,15.56,nao,58,nao
P_cuvieri,,cerrado,JT01,JT-01,,,14/12/2010,1,26,7.2,19.12,nao,77,nao
P_cuvieri,,cerrado,JT01,JT-01,,,14/12/2010,1,28,8.6,19.48,nao,97.5,nao
P_cuvieri,,cerrado,JT01,JT-01,,,14/12/2010,1,35,9,23.82,nao,161,nao
P_cuvieri,,cerrado,JT01,JT-01,,,14/12/2010,1,32,8.8,21.5,nao,108.2,nao
P_cuvieri,,cerrado,JT01,JT-01,,,14/12/2010,1,31,7.8,20.15,nao,83.2,nao
P_cuvieri,,cerrado,JT01,JT-01,,,14/12/2010,1,32,8.6,20.56,nao,108.3,nao
P_cuvieri,,cerrado,JT01,JT-01,,,14/12/2010,1,26,6.8,15.55,nao,55.6,nao
P_cuvieri,,cerrado,JT01,JT-01,,,14/12/2010,1,26,6.6,17.79,nao,55.9,nao
P_cuvieri,,cerrado,JT01,JT-01,,,14/12/2010,1,28,7.2,16.26,nao,24.6,nao
P_cuvieri,,cerrado,JT01,JT-01,,,14/12/2010,1,27,7,17.99,nao,69.8,nao
P_cuvieri,,cerrado,JT01,JT-01,,,14/12/2010,1,26,7,16.2,nao,55.7,nao
P_cuvieri,,cerrado,JT01,JT-01,,,14/12/2010,1,25,4.6,14.84,nao,37.1,nao
P_cuvieri,,cerrado,JT01,JT-01,,,14/12/2010,1,26,6,14.66,nao,41.3,nao
P_cuvieri,,cerrado,JT01,JT-01,,,14/12/2010,1,25,4.4,10.78,nao,14.8,nao
P_cuvieri,,cerrado,JT01,JT-01,,,14/12/2010,1,25,5.2,13.99,nao,24.7,nao
P_cuvieri,,cerrado,JT01,JT-01,,,14/12/2010,1,25,5.6,13.43,nao,26.4,nao
P_cuvieri,,cerrado,JT01,JT-01,,,14/12/2010,1,25,5.2,12.02,nao,28.4,nao
P_cuvieri,,cerrado,JT01,JT-01,,,14/12/2010,1,25,4.4,11.34,nao,16.3,nao
